Price,Year,Model,Body,Series:,Mileage,Power,Cylinder Capacity,Steering,Transmission,Drive,Fuel,Interior Material,Interior Color,Exterior Color,Condition,New / Used,Ready to Drive,Location
"GBP 595,000",1973,911 Carrera RS,Coupé,911 F-Model,78638 km,210 HP,"2,7 Liter",left,Manual,Rear drive,Gasoline,Leatherette,Black,Yellow/Gold,#N/A,Used car,yes,United Kingdom
"EUR 83,000",1987,911 Carrera 3.2,Targa,911 G-Model,106000 mi,231 HP,"3,2 Liter",right,Manual,Rear drive,Gasoline,Leather,Black,Black,Fully restored Accident-free,Used car,yes,Cyprus
"CHF 95,000",1997,993 Carrera,Cabriolet,993,41000 km,285 HP,"3,6 Liter",left,Manual,Rear drive,Gasoline,Leather,Beige,Red,Accident-free,Used car,yes,Switzerland
"EUR 149,000",1969,911 E,Targa,911 F-Model,1300 km,140 HP,"2,0 Liter",left,Automatic,Rear drive,Gasoline,Leather,Black,Yellow/Gold,Fully restored,Used car,yes,Austria
"EUR 219,900",1996,993 Turbo,Coupé,993,74200 km,408 HP,"3,6 Liter",left,Manual,Four-wheel drive,Gasoline,Leather,Black,Black,Accident-free,Used car,yes,Monaco
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 199,900",2023,992 Carrera GTS,Cabriolet,992,9500 km,480 HP,"3,0 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Black,#N/A,Used car,yes,Germany
"EUR 157,179",2024,992 Carrera S,Coupé,992,7500 km,450 HP,"3,0 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Black,#N/A,Used car,yes,Netherlands
"EUR 185,000",2016,991 GT3 RS,Coupé,991,2354 km,500 HP,4 Liter,left,PDK,Rear drive,Gasoline,Fabric/Leather combination,Black,Orange,Accident-free,Used car,yes,Austria
"USD 109,995",2015,991 Carrera S,Coupé,991,12709 km,400 HP,"3,8 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,White,#N/A,Used car,yes,United States
"EUR 89,900",2011,997.2 Carrera 4 GTS,Coupé,997,55400 km,408 HP,"3,8 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Black,White,#N/A,Used car,yes,France
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 133,900",1979,911 Turbo 3.3,Coupé,930,190100 km,300 HP,"3,3 Liter",left,Manual,Rear drive,Gasoline,Leatherette,Brown,Beige/Brown,#N/A,Used car,yes,Germany
"EUR 78,500",2019,Panamera 4 E-Hybrid,Limousine,Panamera,66000 km,462 HP,2.9 Liter,left,PDK,Four-wheel drive,Hybrid,Leather,Black,Black,Accident-free,Used car,yes,Belgium
"EUR 690,000",1954,356 Pre-A 1500 Speedster,Cabriolet,356,2180 km,55 HP,"1,5 Liter",left,Manual,Rear drive,Gasoline,Leather,Beige,Blue,Fully restored,Used car,yes,Italy
"EUR 29,900EUR 28,900",1973,914 2.0,Targa,914,52000 km,100 HP,2 Liter,left,Manual,Rear drive,Gasoline,Fabric/Leather combination,Black,Orange,#N/A,Used car,yes,Austria
"EUR 69,900",1993,968 Club Sport,Coupé,968,146500 km,240 HP,3 Liter,left,Manual,Rear drive,Gasoline,Fabric,Black,Yellow/Gold,#N/A,Used car,yes,Austria
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 121,900",2015,991 Carrera GTS,Cabriolet,991,23500 km,430 HP,"3,8 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,White,Accident-free,Used car,yes,Germany
"EUR 68,991EUR 67,991",2014,991 Carrera,Coupé,991,100000 km,350 HP,"3,4 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Black,Accident-free,Used car,yes,Germany
"USD 255,000",2023,718 Cayman GT4 RS,Coupé,982,349 mi,500 HP,"4,0 Liter",left,PDK,Rear drive,Gasoline,Fabric/Leather combination,Black,Grey,#N/A,Used car,yes,United States
#N/A,2008,997.2 Carrera,Coupé,997,50000 km,345 HP,"3,6 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Blue,Accident-free,Used car,yes,Italy
#N/A,1991,964 Carrera 2,Coupé,964,22470 km,325 HP,"3,8 Liter",left,Manual,Rear drive,Gasoline,Fabric,White,White,#N/A,Used car,yes,Norway
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"USD 115,000",1972,911 T,Coupé,911 F-Model,84574 mi,130 HP,"2,4 Liter",left,Manual,Rear drive,Gasoline,Leather,Brown,Yellow/Gold,Accident-free,Used car,yes,United States
"USD 169,000",1974,911 Modified,Targa,911 Backdate/Modified,1446 mi,#N/A,"3,0 Liter",left,Manual,Rear drive,Gasoline,Fabric/Leather combination,Black,Yellow/Gold,Fully restored Accident-free,Used car,yes,United States
#N/A,2024,718 Cayman GT4 RS,Coupé,982,100 km,500 HP,"4,0 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Blue,#N/A,New car,#N/A,Switzerland
"EUR 79,500",2014,991 Carrera,Cabriolet,991,53000 km,350 HP,"3,4 Liter",left,Automatic,Rear drive,Gasoline,Leather,Red,Black,Accident-free,Used car,yes,Germany
"EUR 81,950",2014,991 Carrera,Cabriolet,991,83025 km,350 HP,"3,4 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Black,#N/A,Used car,#N/A,Netherlands
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 126,950",2019,992 Carrera S,Coupé,992,69205 km,450 HP,"3,0 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,Grey,#N/A,Used car,yes,Netherlands
"EUR 46,996",2003,996 Carrera,Targa,996,119600 km,320 HP,"3,6 Liter",left,Manual,Rear drive,Gasoline,Leather,Grey,Green,#N/A,Used car,yes,Germany
"EUR 47,950",2016,718 Boxster,Cabriolet,982,122623 km,300 HP,"2,0 Liter",left,Manual,Rear drive,Gasoline,Leather,Grey,Grey,#N/A,Used car,#N/A,Netherlands
"EUR 135,000",1991,964 Carrera 4,Coupé,964,116917 km,250 HP,"3,6 Liter",left,Manual,Four-wheel drive,Gasoline,Leather,Black,Blue,Partially restored Accident-free,Used car,yes,Italy
"EUR 126,950",2020,992 Carrera S,Coupé,992,104000 km,450 HP,"3,0 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Black,#N/A,Used car,#N/A,Netherlands
"EUR 42,950",2006,997 Carrera 4,Coupé,997,175825 km,325 HP,"3,6 Liter",left,Automatic,Rear drive,Gasoline,Leather,Black,Black,#N/A,Used car,yes,Netherlands
"EUR 214,950",2024,718 Spyder RS,Cabriolet,982,3500 km,500 HP,"4,0 Liter",left,PDK,Rear drive,Gasoline,Fabric/Leather combination,Black,Grey,#N/A,Used car,yes,Belgium
"EUR 398,000",1958,356 A 1600 Speedster,Roadster,356,04900 km,60 HP,"1,6 Liter",left,Manual,Rear drive,Gasoline,Leather,Red,Black,Fully restored,Used car,yes,Germany
"EUR 92,500",1980,911 SC,Coupé,911 G-Model,135810 mi,172 HP,"3,0 Liter",left,Manual,Rear drive,Gasoline,Leather,Beige,Beige/Brown,Partially restored Accident-free,Used car,yes,France
"EUR 255,000",2023,992 Turbo S,Coupé,992,250 km,650 HP,"3,8 Liter",left,PDK,Four-wheel drive,Gasoline,Fabric/Leather combination,Black,Grey,Accident-free,Used car,yes,Germany
"EUR 71,000EUR 66,500",1991,964 Carrera 4,Coupé,964,183000 km,250 HP,"3,6 Liter",left,Manual,Four-wheel drive,Gasoline,Leather,Blue,White,#N/A,Used car,yes,Norway
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 93,000",2013,991 Carrera 4S,Cabriolet,991,108500 km,400 HP,"3,8 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Red,Black,#N/A,Used car,yes,Italy
"USD 294,356",1960,356 B 1600,Cabriolet,356,122 mi,60 HP,"1,6 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,Yellow/Gold,Fully restored,Used car,yes,United States
"GBP 81,995",2019,718 Spyder,Cabriolet,982,14500 mi,420 HP,"4,0 Liter",right,Manual,Rear drive,Gasoline,Alcantara,Black,Blue,#N/A,Used car,yes,United Kingdom
"EUR 134,900",2010,997.2 Turbo S,Coupé,997,45800 km,530 HP,"3,8 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Grey,Black,#N/A,Used car,yes,France
"EUR 174,900",2016,991 GT3 RS,Coupé,991,49000 km,500 HP,4 Liter,left,PDK,Rear drive,Gasoline,Alcantara,Black,White,#N/A,Used car,yes,Austria
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 227,500",2023,992 Carrera 4 GTS,Cabriolet,992,14075 km,480 HP,"3,0 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Black,Green,#N/A,Used car,yes,Netherlands
"CHF 389,900",2010,997 Sport Classic,Coupé,997,25600 km,408 HP,"3,8 Liter",left,Manual,Rear drive,Gasoline,Leather,Brown,Grey,#N/A,Used car,yes,Switzerland
"CHF 109,900",1987,911 Carrera 3.2,Targa,911 G-Model,155000 km,231 HP,"3,2 Liter",left,Manual,Rear drive,Gasoline,Leather,Blue,Blue,#N/A,Used car,yes,Switzerland
"EUR 67,900EUR 65,911",1984,911 Carrera 3.2,Coupé,911 G-Model,227500 km,231 HP,"3,2 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,Grey,#N/A,Used car,yes,Norway
"EUR 107,991",2016,991.2 Carrera S,Coupé,991,54000 km,420 HP,"3,0 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Yellow/Gold,Accident-free,Used car,yes,Denmark
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 129,900",2011,997.2 Carrera GTS,Coupé,997,31950 km,408 HP,"3,8 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,White,Accident-free,Used car,yes,Germany
